tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-group-id,animal-life-stage,animal-mass,animal-ring-id,animal-sex,attachment-type,capture-method,deploy-on-measurements,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
88,K96915,Nucifraga caryocatactes,2017-08-14 00:00:00.000,,long-distance seed disperser,adult,185.0,K96915,m,backpack-harness,caught passively by mist net without the use of playback or decoys,"{""billDepthInMillimeters"":13.1, ""billLengthInMillimeters"":45.98, ""tarsusLengthInMillimeters"":41.27, ""wingLengthInMillimeters"":185}",transmission-end,K96915_88,"2 stationary tags at capture site mean error 12.4m, range 0-71.7m, SD=9.5m, 50%CI=12.8m, 95%CI 13.8m",none,Lotek,6.6,PinPoint VHF 120,other-wireless
85,K96920,Nucifraga caryocatactes,2017-08-15 00:00:00.000,,long-distance seed disperser,adult,180.0,K96920,m,backpack-harness,caught passively by mist net without the use of playback or decoys,"{""billDepthInMillimeters"":12.25, ""billLengthInMillimeters"":44.76, ""tarsusLengthInMillimeters"":42.04, ""wingLengthInMillimeters"":194}",transmission-end,K96920_85,"2 stationary tags at capture site mean error 12.4m, range 0-71.7m, SD=9.5m, 50%CI=12.8m, 95%CI 13.8m",none,Lotek,6.6,PinPoint VHF 120,other-wireless
89,K96934,Nucifraga caryocatactes,2017-08-22 00:00:00.000,,long-distance seed disperser,adult,176.0,K96934,m,backpack-harness,caught passively by mist net without the use of playback or decoys,"{""billDepthInMillimeters"":13.62, ""billLengthInMillimeters"":48.01, ""tarsusLengthInMillimeters"":42.99, ""wingLengthInMillimeters"":192}",analysis-end,K96934_89,"2 stationary tags at capture site mean error 12.4m, range 0-71.7m, SD=9.5m, 50%CI=12.8m, 95%CI 13.8m",none,Lotek,5.5,PinPoint VHF Solar Small,other-wireless
36,K96948,Nucifraga caryocatactes,2017-08-28 00:00:00.000,,short-distance seed disperser,adult,169.0,K96948,m,backpack-harness,caught passively by mist net without the use of playback or decoys,"{""billDepthInMillimeters"":12.8, ""billLengthInMillimeters"":47.72, ""tarsusLengthInMillimeters"":42.51, ""wingLengthInMillimeters"":188}",transmission-end,K96948_36,"2 stationary tags at capture site mean error 12.4m, range 0-71.7m, SD=9.5m, 50%CI=12.8m, 95%CI 13.8m",none,Lotek,6.6,PinPoint VHF 120,other-wireless
24,K121798,Nucifraga caryocatactes,2018-08-09 00:00:00.000,,long-distance seed disperser,adult,175.0,K121798,m,backpack-harness,caught passively by mist net without the use of playback or decoys,"{""billDepthInMillimeters"":15.27, ""billLengthInMillimeters"":46.16, ""tarsusLengthInMillimeters"":41.2, ""wingLengthInMillimeters"":189}",transmission-end,K121798_24,"2 stationary tags at capture site mean error 12.4m, range 0-71.7m, SD=9.5m, 50%CI=12.8m, 95%CI 13.8m",none,Lotek,6.6,PinPoint VHF 120,other-wireless
19,K125864,Nucifraga caryocatactes,2018-08-10 00:00:00.000,,long-distance seed disperser,adult,169.0,K125864,f,backpack-harness,caught passively by mist net without the use of playback or decoys,"{""billDepthInMillimeters"":14.26, ""billLengthInMillimeters"":46.3, ""tarsusLengthInMillimeters"":42.08, ""wingLengthInMillimeters"":189}",transmission-end,K125864_19,"2 stationary tags at capture site mean error 12.4m, range 0-71.7m, SD=9.5m, 50%CI=12.8m, 95%CI 13.8m",none,Lotek,6.6,PinPoint VHF 120,other-wireless
28,K125854,Nucifraga caryocatactes,2018-08-10 00:00:00.000,,long-distance seed disperser,adult,203.0,K125854,m,backpack-harness,caught passively by mist net without the use of playback or decoys,"{""billDepthInMillimeters"":16.34, ""billLengthInMillimeters"":50.64, ""tarsusLengthInMillimeters"":43.07, ""wingLengthInMillimeters"":194}",transmission-end,K125854_28,"2 stationary tags at capture site mean error 12.4m, range 0-71.7m, SD=9.5m, 50%CI=12.8m, 95%CI 13.8m",none,Lotek,6.6,PinPoint VHF 120,other-wireless
22,K125866,Nucifraga caryocatactes,2018-08-11 00:00:00.000,,long-distance seed disperser,adult,180.0,K125866,f,backpack-harness,caught passively by mist net without the use of playback or decoys,"{""billDepthInMillimeters"":14.52, ""billLengthInMillimeters"":45.28, ""tarsusLengthInMillimeters"":42.26, ""wingLengthInMillimeters"":192}",transmission-end,K125866_22,"2 stationary tags at capture site mean error 12.4m, range 0-71.7m, SD=9.5m, 50%CI=12.8m, 95%CI 13.8m",none,Lotek,6.6,PinPoint VHF 120,other-wireless
21,K125867,Nucifraga caryocatactes,2018-08-12 00:00:00.000,,long-distance seed disperser,adult,180.0,K125867,m,backpack-harness,caught passively by mist net without the use of playback or decoys,"{""billDepthInMillimeters"":15.13, ""billLengthInMillimeters"":45.36, ""tarsusLengthInMillimeters"":41.79, ""wingLengthInMillimeters"":186}",transmission-end,K125867_21,"2 stationary tags at capture site mean error 12.4m, range 0-71.7m, SD=9.5m, 50%CI=12.8m, 95%CI 13.8m",none,Lotek,6.6,PinPoint VHF 120,other-wireless
20,K125874,Nucifraga caryocatactes,2018-08-15 00:00:00.000,,long-distance seed disperser,adult,177.0,K125874,m,backpack-harness,caught passively by mist net without the use of playback or decoys,"{""billDepthInMillimeters"":16.04, ""billLengthInMillimeters"":50.24, ""tarsusLengthInMillimeters"":41.86, ""wingLengthInMillimeters"":189}",transmission-end,K125874_20,"2 stationary tags at capture site mean error 12.4m, range 0-71.7m, SD=9.5m, 50%CI=12.8m, 95%CI 13.8m",none,Lotek,6.6,PinPoint VHF 120,other-wireless
